base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.k_proj,12,k_proj,0p25,0.25,0.3786331117153168,0.32139214873313904,0.8488221168518066,4
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.k_proj,12,k_proj,0p50,0.5,0.3786331117153168,0.26768800616264343,0.7069851756095886,4
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.k_proj,12,k_proj,1p00,1.0,0.3786331117153168,0.18354035913944244,0.4847446084022522,4
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.o_proj,12,o_proj,0p00,0.0,0.7573004364967346,0.7573004364967346,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.o_proj,12,o_proj,0p25,0.25,0.7573004364967346,0.6329567432403564,0.835806667804718,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.o_proj,12,o_proj,0p50,0.5,0.7573004364967346,0.5143734216690063,0.6792197823524475,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.o_proj,12,o_proj,1p00,1.0,0.7573004364967346,0.3208092153072357,0.42362213134765625,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.q_proj,12,q_proj,0p00,0.0,0.893374502658844,0.893374502658844,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.q_proj,12,q_proj,0p25,0.25,0.893374502658844,0.7522306442260742,0.8420104384422302,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.q_proj,12,q_proj,0p50,0.5,0.893374502658844,0.6178292632102966,0.6915680766105652,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.q_proj,12,q_proj,1p00,1.0,0.893374502658844,0.39727118611335754,0.44468605518341064,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.v_proj,12,v_proj,0p00,0.0,0.4923941493034363,0.4923941493034363,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.v_proj,12,v_proj,0p25,0.25,0.4923941493034363,0.38852831721305847,0.789059579372406,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.v_proj,12,v_proj,0p50,0.5,0.4923941493034363,0.2866867482662201,0.5822302103042603,3
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.v_proj,12,v_proj,1p00,1.0,0.4923941493034363,0.1133914664387703,0.23028597235679626,3
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.down_proj,13,down_proj,0p00,0.0,0.5766727924346924,0.5766727924346924,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.down_proj,13,down_proj,0p25,0.25,0.5766727924346924,0.50090491771698,0.8686119914054871,3
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.down_proj,13,down_proj,0p50,0.5,0.5766727924346924,0.4307023584842682,0.7468747496604919,3
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.down_proj,13,down_proj,1p00,1.0,0.5766727924346924,0.3216138482093811,0.5577059388160706,3
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.gate_proj,13,gate_proj,0p00,0.0,1.5702005624771118,1.5702005624771118,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.gate_proj,13,gate_proj,0p25,0.25,1.5702005624771118,1.3212664127349854,0.8414634466171265,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.gate_proj,13,gate_proj,0p50,0.5,1.5702005624771118,1.0879782438278198,0.6928912401199341,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.gate_proj,13,gate_proj,1p00,1.0,1.5702005624771118,0.7299372553825378,0.46486881375312805,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.up_proj,13,up_proj,0p00,0.0,1.0207515954971313,1.0207515954971313,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.up_proj,13,up_proj,0p25,0.25,1.0207515954971313,0.8953580856323242,0.8771557211875916,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.up_proj,13,up_proj,0p50,0.5,1.0207515954971313,0.7798446416854858,0.7639906406402588,4
Qwen3-8B,metamath,base_model.model.model.layers.13.mlp.up_proj,13,up_proj,1p00,1.0,1.0207515954971313,0.6011809706687927,0.5889591574668884,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.k_proj,13,k_proj,0p00,0.0,0.5300813913345337,0.5300813913345337,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.k_proj,13,k_proj,0p25,0.25,0.5300813913345337,0.44176438450813293,0.8333896994590759,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.k_proj,13,k_proj,0p50,0.5,0.5300813913345337,0.3577820956707001,0.6749569177627563,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.k_proj,13,k_proj,1p00,1.0,0.5300813913345337,0.22307147085666656,0.42082494497299194,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.o_proj,13,o_proj,0p00,0.0,0.7952671051025391,0.7952671051025391,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.o_proj,13,o_proj,0p25,0.25,0.7952671051025391,0.6768670678138733,0.8511191606521606,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.o_proj,13,o_proj,0p50,0.5,0.7952671051025391,0.5666826367378235,0.7125689387321472,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.o_proj,13,o_proj,1p00,1.0,0.7952671051025391,0.3986632823944092,0.5012948513031006,3
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.q_proj,13,q_proj,0p00,0.0,0.95309978723526,0.95309978723526,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.q_proj,13,q_proj,0p25,0.25,0.95309978723526,0.8061100244522095,0.845777153968811,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.q_proj,13,q_proj,0p50,0.5,0.95309978723526,0.6660810708999634,0.6988576650619507,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.q_proj,13,q_proj,1p00,1.0,0.95309978723526,0.4343665540218353,0.45574089884757996,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.v_proj,13,v_proj,0p00,0.0,0.2957751452922821,0.2957751452922821,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.v_proj,13,v_proj,0p25,0.25,0.2957751452922821,0.24900692701339722,0.84187912940979,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.v_proj,13,v_proj,0p50,0.5,0.2957751452922821,0.2048022598028183,0.692425549030304,4
Qwen3-8B,metamath,base_model.model.model.layers.13.self_attn.v_proj,13,v_proj,1p00,1.0,0.2957751452922821,0.13445071876049042,0.4545707106590271,4
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.down_proj,14,down_proj,0p00,0.0,0.6574738025665283,0.6574738025665283,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.down_proj,14,down_proj,0p25,0.25,0.6574738025665283,0.5673258900642395,0.862887442111969,4
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.down_proj,14,down_proj,0p50,0.5,0.6574738025665283,0.4825187921524048,0.7338981032371521,4
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.down_proj,14,down_proj,1p00,1.0,0.6574738025665283,0.3448076844215393,0.5244432091712952,4
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.gate_proj,14,gate_proj,0p00,0.0,1.6213548183441162,1.6213548183441162,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.14.mlp.gate_proj,14,gate_proj,0p25,0.25,1.6213548183441162,1.3531832695007324,0.8346003293991089,3
