cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	forgetting_gap	base_left_overlap_k16	source	18	-0.5726218102959326	-0.5546414324985718	0.09128709291752768	0.32078786811491167	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	base_left_overlap_k16	source	18	0.6022730486482786	0.2510482226267169	-0.3046358979224712	-0.38198127010222444	0.3293895747599451	46656	0.9511442336645588
source18	hns_off_gain	base_left_overlap_k16	source	18	-0.43859649122807015	-0.6166666666666667	-0.08333333333333334	0.26791738430704276	0.8846879286694102	46656	1.0
source18	hns_forgetting_reduction	base_left_overlap_k16	source	18	-0.5580987933681373	-0.6722926454528143	-0.18257418583505536	0.27726105152350705	0.6450617283950617	46656	0.9550490661601773
source18	target	base_right_overlap_k16	source	18	-0.5323003813481175	-0.6624868971450597	0.1781741612749496	-0.3096382155658738	0.6111111111111112	46656	0.9319319319319319
source18	off_score	base_right_overlap_k16	source	18	-0.10629514963880288	0.008333333333333333	0.08333333333333334	0.06098027517337791	0.8846879286694102	46656	0.977812973792506
source18	forgetting_gap	base_right_overlap_k16	source	18	0.41183126573819795	0.3529536388627275	0.09128709291752768	-0.10702514154116945	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	base_right_overlap_k16	source	18	-0.27066130145085593	-0.18410202992625907	0.08703882797784893	0.07523834740653276	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	base_right_overlap_k16	source	18	0.457172342621259	0.26666666666666666	-0.08333333333333334	-0.24347355874378102	0.8846879286694102	46656	1.0
source18	hns_forgetting_reduction	base_right_overlap_k16	source	18	0.39730824881040255	0.30253169045376643	0.3651483716701107	0.08649398511586545	0.2824074074074074	46656	0.7413194444444444
source18	target	base_bilateral_overlap_k16	source	18	-0.10025851842867457	-0.6708728072355035	0.0890870806374748	0.2003395897465917	0.8209876543209876	46656	0.9319319319319319
source18	off_score	base_bilateral_overlap_k16	source	18	0.46336429308565524	-0.016666666666666666	-0.16666666666666669	-0.06153713111051834	0.6737825788751715	46656	0.8843396347736625
