checkpoint	base	train_task	seed	module	nuclear	fro	sigma1	entropy_rank	top1_energy
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.self_attn.k_proj	2.6081154569983482	0.9596978322601054	0.7564070224761963	10.69697755517797	0.6212152044532635
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.self_attn.o_proj	3.7909489199519157	1.125417395893987	0.7801357507705688	13.803986777641656	0.48052181988056697
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.self_attn.q_proj	4.266200505197048	2.0334274346062426	1.9231363534927368	8.396695198181984	0.8944638593650139
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.self_attn.v_proj	1.4286050591617823	0.5577832687937232	0.4633701741695404	10.235155875364235	0.6901209094049023
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.mlp.down_proj	3.229393348097801	1.2093311797579989	0.8933114409446716	10.35400647786207	0.5456514225910205
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.mlp.gate_proj	8.967358715832233	4.9835023391371625	4.794711589813232	6.302108874247213	0.9256688397395856
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.mlp.up_proj	8.09878171980381	3.53347555785312	3.230466365814209	9.285778843978465	0.8358459922213658
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.self_attn.k_proj	2.4709703661501408	0.9297362520909542	0.7614047527313232	10.58398325599478	0.6706742562639131
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.self_attn.o_proj	3.548301078379154	1.2403222495927249	1.0355148315429688	12.033602964988017	0.6970173337376937
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.self_attn.q_proj	4.6099168583750725	2.2918094972622676	2.183257579803467	7.873626427990006	0.9075131434268423
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.35.self_attn.v_proj	1.4563480596989393	0.725149561545575	0.6837648153305054	7.671642226158463	0.8891157866831302
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.mlp.down_proj	3.248519644141197	1.293332368377024	1.140108346939087	10.342567443371692	0.7770911389064025
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.mlp.gate_proj	8.734392181038857	6.5294789042548835	6.493404388427734	3.395496563090676	0.9889807861034842
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.mlp.up_proj	3.867133978754282	1.8402066782829716	1.7274552583694458	8.265260376414933	0.8812120165536675
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.self_attn.k_proj	2.5984239876270294	0.8591306345832949	0.5241888165473938	11.98828892190325	0.3722691878323315
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.self_attn.o_proj	3.053374797105789	0.9507931986272723	0.6048325300216675	12.96752598510622	0.4046673349347146
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.self_attn.q_proj	4.495354734361172	1.8196656851227568	1.613832950592041	10.122992212907015	0.7865637842090455
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.4.self_attn.v_proj	1.3690936844795942	0.6323101449844098	0.5840856432914734	8.491597536131557	0.8532823518179915
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.mlp.down_proj	3.240861840546131	1.0985933862484112	0.8494625687599182	12.093753379345383	0.5978806980543354
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.mlp.gate_proj	9.674289777874947	5.768814253938463	5.623737335205078	5.647149593796314	0.9503354830571092
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.mlp.up_proj	5.030344262719154	2.0179377417402544	1.7408379316329956	10.035598676503511	0.7442196899451665
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.self_attn.k_proj	2.4078549779951572	0.7629911549453484	0.5228517651557922	12.682371837779883	0.46958925431588555
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.self_attn.o_proj	3.4935658797621727	1.137989567145871	0.7714900374412537	12.339786511858794	0.45960430009024905
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.self_attn.q_proj	4.243029065430164	1.595836530688818	1.32820463180542	10.678434404187747	0.692712741604736
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.5.self_attn.v_proj	1.5782618653029203	0.8914367480822071	0.8655665516853333	6.335388115244012	0.9428006311918862
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.6.mlp.down_proj	2.159399884752929	1.5697354272515618	1.5535871982574463	3.461542895118216	0.9795313675867691
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.6.mlp.gate_proj	7.36978118121624	4.565948331999661	4.48971700668335	5.391690002914444	0.9668875093154092
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.6.mlp.up_proj	3.9031906947493553	1.7231627329863937	1.5758633613586426	9.020826082651963	0.8363431989803899
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.6.self_attn.k_proj	2.5674164555966854	0.7998896044371974	0.5481439828872681	12.965726374635677	0.46960119886598384
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.6.self_attn.o_proj	3.5600471794605255	1.078258501507761	0.7655381560325623	13.572114290872571	0.504066576608076
