base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	tulu	original_lora	participation_rank	3	0.24578333333333333	0.03137083093150919	0.21044	0.27033	0.25658
Qwen3-8B	tulu	original_lora	nuclear_participation_rank	3	0.6004299999999999	0.042259686463579006	0.55302	0.63414	0.61413
Qwen3-8B	tulu	original_lora	top1_energy	3	0.49132333333333333	0.03798858951492318	0.53309	0.45883	0.48205
Qwen3-8B	tulu	original_lora	top4_energy	3	0.79082	0.03202728368126153	0.82697	0.76599	0.7795
Qwen3-8B	tulu	original_lora	log_condition	3	2.2540066666666667	0.14247210405315622	2.4136	2.13963	2.20879
Qwen3-8B	tulu	original_lora	log_fro	3	3.914611373381547	0.03173556724426743	3.8810910240248675	3.9185482933026083	3.9441948028171643
Qwen3-8B	tulu	original_lora	log_nuclear	3	7.701007453838609	0.06931472405718986	7.621049208987653	7.7378978416703825	7.744075310857791
Qwen3-8B	tulu	original_lora	log_head_rss	3	3.5611382410177495	0.030182722986149685	3.568065924875776	3.528093963592769	3.5872548345847033
Qwen3-8B	tulu	original_lora	fro_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	head_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	original_head1_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	original_head4_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	scalar_fit	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	tulu	original_lora	shape_residual	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	tulu	original_lora	displacement	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	tulu	original_lora	target	3	66.97473813924832	0.833502726954329	67.8373382624769	66.17375231053605	66.91312384473198
Qwen3-8B	tulu	original_lora	target_gain	3	0.0	0.0	0.0	0.0	0.0
