cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q	missing_rows
hns_grid_retention	target_gain	flatness	core	120	12	0.319417459331352	0.12922188034183663	0.8005897402510873	0.09202065413892128	-0.10735684810809751	0.29791226387685155	0.4262611675710561	0.13331103461132762	7	5	12	0.3468265867066467	0.35838747293020157	
hns_grid_retention	target_gain	gini	core	120	12	-0.2967941178199408	-0.1224163212722396	-0.7082044397375021	-0.09500681172598126	-0.29887834805254276	0.09639807209374629	-0.01705541884158227	-0.09515661353938101	4	8	12	0.33883058470764615	0.35838747293020157	
hns_grid_retention	target_gain	decay_slope	core	120	12	0.28402620543771195	0.12353922134717638	0.6645367441100969	0.10353269468203644	-0.08921015189560529	0.3100255408043545	-0.017408068324320042	0.09515661353938101	8	4	12	0.2943528235882059	0.35838747293020157	
hns_grid_retention	target_gain	erank_energy	core	120	12	0.3281483414730674	0.13543203989811395	0.7637293874292883	0.10044716299771234	-0.09182397093639035	0.30777820615104895	0.11484945817664997	0.10293929556681819	8	4	12	0.30434782608695654	0.35838747293020157	
hns_grid_retention	target_gain	entropy_gap	core	120	12	-0.32126826921705737	-0.1314034184322264	-0.7961605626616964	-0.09150076343757145	-0.2909355431209934	0.10093921150385148	-0.5133693483898615	-0.13331103461132762	5	7	12	0.3453273363318341	0.35838747293020157	
hns_grid_retention	target_gain	hill_tail_contrast	core	120	12	-0.28324484143485756	-0.13980079784702387	-0.7180791440265842	-0.07938362942121403	-0.2810554458771624	0.11910110443435952	-0.05655845930068438	-0.06716880981062007	5	7	12	0.4237881059470265	0.4237881059470265	
hns_grid_retention	target_gain	d_flat_l1	core	120	12	-0.29063616146444315	-0.12191744691881565	-0.7003834479226989	-0.09500681172598126	-0.29887834805254276	0.09639807209374629	-0.011706365183042461	-0.09515661353938101	4	8	12	0.33883058470764615	0.35838747293020157	
hns_grid_retention	target_gain	soft_rank	core	120	12	0.299834491746538	0.10916631525168884	0.6887847556952854	0.10561463498320754	-0.09286568522739108	0.31524473638100564	-0.047329327257001196	0.13755636264976917	7	5	12	0.280359820089955	0.35838747293020157	
hns_grid_retention	target_gain	head_tail	core	120	12	-0.2927296529412958	-0.11578665632420557	-0.6922416822743265	-0.09860166406155893	-0.30158492665566705	0.09545186830285378	-8.172250609748593e-05	-0.10718126155843631	5	7	12	0.31084457771114443	0.35838747293020157	
hns_grid_retention	target_gain	erank_iqr	core	120	12	-0.31059169851339863	-0.1435755464809824	-0.7229873149146397	-0.09265672482159827	-0.3034042581102515	0.11716260292677805	0.21229318101865172	-0.10522694351762485	5	7	12	0.3448275862068966	0.35838747293020157	
