checkpoint	benchmark	level	comparison	metric	mean_difference	ci_low	ci_high	bootstrap_defined	bootstrap_resamples	uncertainty
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	-0.0018484288354898327	-0.012939001848428836	0.007393715341959336	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	0.0018484288354898327	-0.00924214417744917	0.014787430683918669	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	0.01449275362318836	-0.03228494623655922	0.06779661016949146	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.0	-0.14814814814814814	0.14285714285714285	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.003696857670979669	-0.0055452865064695	0.012939001848428836	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0	-0.011090573012939	0.00924214417744917	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	scalar_e minus flat_e	recovery_rate	-0.02898550724637683	-0.11115023474178408	0.05172973578145994	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.0	-0.11764705882352944	0.11764705882352944	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	scalar_e minus flat_e	new_success_rate	0.005545286506469502	-0.005545286506469502	0.018484288354898338	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.0018484288354898327	-0.01478743068391867	0.011090573012939002	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	winogrande	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	0.046875	0.005235602094240843	0.09278632189735789	2000	2000	paired test samples conditional on one fixed source checkpoint
