cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	task/metamath	raw_fpr	gain_arc_easy	6	6	0.3638061352829804	-0.06053135128742093	0.780567864277624	3	0	3
A_all_versions	task/tulu	raw_fpr	gain_arc_easy	6	6	-0.41255214680317126	-0.7653601023642002	-0.04913813063608174	1	0	5
A_all_versions	base/Qwen3-8B	raw_fpr	gain_boolq	9	9	-0.7747694789980264	-0.9508670027807299	-0.45881113138074014	1	0	8
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_boolq	9	9	0.521045627053467	0.07082184745524918	0.8705852196952734	7	0	2
A_all_versions	task/magicoder	raw_fpr	gain_boolq	6	6	-0.01602146707952201	-0.6368850247208492	0.6215644380627827	3	0	3
A_all_versions	task/metamath	raw_fpr	gain_boolq	6	6	-0.007650466894397245	-0.6427230796988012	0.628720640401103	3	0	3
A_all_versions	task/tulu	raw_fpr	gain_boolq	6	6	-0.3569138439429198	-0.830660911615619	0.14993798353337293	2	0	4
A_all_versions	base/Qwen3-8B	raw_fpr	gain_hellaswag	9	9	0.29336861188285135	-0.03603749850782236	0.6197582337849479	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_hellaswag	9	9	0.41042706633908804	-0.09810207927129427	0.8209041847594367	7	0	2
A_all_versions	task/magicoder	raw_fpr	gain_hellaswag	6	6	0.21322186617128228	-0.18919686716606743	0.6217219273818266	3	0	3
A_all_versions	task/metamath	raw_fpr	gain_hellaswag	6	6	0.7537843437886177	0.4744937303529944	0.9430562890765761	6	0	0
A_all_versions	task/tulu	raw_fpr	gain_hellaswag	6	6	0.08868730737300906	-0.48950935473125373	0.6308464709694495	4	0	2
A_all_versions	base/Qwen3-8B	raw_fpr	gain_openbookqa	9	9	-0.3757202256922112	-0.5852706449523774	-0.17833793486612018	1	1	7
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_openbookqa	9	9	-0.24850963071182233	-0.6013612129991753	0.19122436017297878	2	0	7
A_all_versions	task/magicoder	raw_fpr	gain_openbookqa	6	6	-0.056444016135937324	-0.5366820721200894	0.4256373327278678	2	0	4
A_all_versions	task/metamath	raw_fpr	gain_openbookqa	6	6	-0.27262979298543133	-0.3903854429272456	-0.08962558604841979	1	0	5
A_all_versions	task/tulu	raw_fpr	gain_openbookqa	6	6	-0.6072709754846817	-0.8594004548931237	-0.3074771220230806	0	1	5
A_all_versions	base/Qwen3-8B	raw_fpr	gain_piqa	9	9	0.08729809832366926	-0.20598699127174522	0.38933448115882974	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_piqa	9	9	-0.16428350871366237	-0.6269278710373812	0.3385188764187996	4	0	5
A_all_versions	task/magicoder	raw_fpr	gain_piqa	6	6	-0.38413165140903405	-0.7295777905791245	0.013289800172311734	1	0	5
A_all_versions	task/metamath	raw_fpr	gain_piqa	6	6	0.6767242417713392	0.39017718347045854	0.8852016784323458	6	0	0
A_all_versions	task/tulu	raw_fpr	gain_piqa	6	6	-0.4080707059472948	-0.7223746479725733	-0.11894144925943245	0	0	6
A_all_versions	base/Qwen3-8B	raw_fpr	gain_siqa	9	9	-0.18139376792281137	-0.565515793547707	0.2471538522324053	2	0	7
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_siqa	9	9	-0.2805055309466025	-0.7081581211564476	0.1534607606751828	3	0	6
A_all_versions	task/magicoder	raw_fpr	gain_siqa	6	6	-0.7827176917583202	-0.964535873576502	-0.5257226957244111	0	0	6
A_all_versions	task/metamath	raw_fpr	gain_siqa	6	6	0.37214131464156125	-0.18923243701344172	0.8321519320512146	4	0	2
A_all_versions	task/tulu	raw_fpr	gain_siqa	6	6	-0.2822725711873619	-0.5105879724092673	-0.0015016872066326477	1	0	5
A_all_versions	base/Qwen3-8B	raw_fpr	gain_winogrande	9	9	-0.37985852791465197	-0.6179098573326971	-0.14103246219087323	1	0	8
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_winogrande	9	9	0.5252198212173742	0.29222855111631335	0.7259791412237085	7	0	2
A_all_versions	task/magicoder	raw_fpr	gain_winogrande	6	6	0.033675315222770515	-0.35736284131426244	0.46416842421568894	2	0	4
A_all_versions	task/metamath	raw_fpr	gain_winogrande	6	6	0.1897345188212426	-0.22120669759206033	0.5842910888270749	3	0	3
A_all_versions	task/tulu	raw_fpr	gain_winogrande	6	6	-0.005367894089929844	-0.5640283272149116	0.5225165502087731	3	0	3
A_all_versions	base/Qwen3-8B	full_moment_pr	target_gain	9	9	0.26623181619224795	-0.04213785210949492	0.5420030743751372	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	target_gain	9	9	0.3543955626833211	-0.01727654719344976	0.6766222721402917	7	0	2
A_all_versions	task/magicoder	full_moment_pr	target_gain	6	6	-0.28654958599186764	-0.5509636370060014	-0.04070491908617466	1	0	5
A_all_versions	task/metamath	full_moment_pr	target_gain	6	6	0.698980757987279	0.503030303030303	0.878026768031042	6	0	0
A_all_versions	task/tulu	full_moment_pr	target_gain	6	6	0.5185098963179421	0.37012499502607454	0.6507561034652288	6	0	0
A_all_versions	base/Qwen3-8B	full_moment_pr	off_gain	9	9	0.03203333200695319	-0.3663812348295274	0.45447289784864864	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	off_gain	9	9	-0.08608957976868675	-0.3405043088176604	0.1701770762869389	4	0	5
A_all_versions	task/magicoder	full_moment_pr	off_gain	6	6	-0.12012499502607454	-0.2762874885599715	0.09910312089651148	1	0	5
A_all_versions	task/metamath	full_moment_pr	off_gain	6	6	0.5675906014982022	0.3123249870677938	0.8380219965506516	6	0	0
A_all_versions	task/tulu	full_moment_pr	off_gain	6	6	-0.528549978114728	-0.6997280960268842	-0.36029990695633274	0	0	6
A_all_versions	base/Qwen3-8B	full_moment_pr	fg_reduction	9	6	0.6054746024319967	0.5149286505444371	0.6960205543195562	6	0	0
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	fg_reduction	9	9	0.35005606506971176	-0.005590569004973444	0.6610872577900505	7	0	2
A_all_versions	task/magicoder	full_moment_pr	fg_reduction	6	6	0.5499632770151007	0.3680418392368349	0.7194074496881028	6	0	0
A_all_versions	task/metamath	full_moment_pr	fg_reduction	6	6	0.6853930331095311	0.5948470812219716	0.7547013150092776	6	0	0
A_all_versions	task/tulu	full_moment_pr	fg_reduction	6	3	-0.20959522017613505	-0.7640931774583409	0.3783937343321348	1	0	2
