cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Qwen3-8B/magicoder/seed44	raw_fpr	gain_magicoder	-0.3243374865704013	7
A_all_versions	Qwen3-8B/metamath/seed42	raw_fpr	gain_magicoder	0.9272727272727274	7
A_all_versions	Qwen3-8B/metamath/seed43	raw_fpr	gain_magicoder	0.9454545454545454	7
A_all_versions	Qwen3-8B/metamath/seed44	raw_fpr	gain_magicoder	0.7636363636363637	7
A_all_versions	Qwen3-8B/tulu/seed42	raw_fpr	gain_magicoder	-0.23636363636363636	7
A_all_versions	Qwen3-8B/tulu/seed43	raw_fpr	gain_magicoder	-0.8496617760555312	7
A_all_versions	Qwen3-8B/tulu/seed44	raw_fpr	gain_magicoder	-0.5636363636363636	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	full_moment_pr	gain_magicoder	0.1682904582015223	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	full_moment_pr	gain_magicoder	-0.8532469179729296	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	full_moment_pr	gain_magicoder	-0.0642228862990377	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	full_moment_pr	gain_magicoder	0.34235623582431246	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	full_moment_pr	gain_magicoder	-0.7853554716071041	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	full_moment_pr	gain_magicoder	-0.5688312786486197	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	full_moment_pr	gain_magicoder	-0.7567874686642696	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	full_moment_pr	gain_magicoder	-0.7614999375457328	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	full_moment_pr	gain_magicoder	-0.745814225648744	7
A_all_versions	Qwen3-8B/magicoder/seed42	full_moment_pr	gain_magicoder	-0.33636363636363636	7
A_all_versions	Qwen3-8B/magicoder/seed43	full_moment_pr	gain_magicoder	-0.34545454545454546	7
A_all_versions	Qwen3-8B/magicoder/seed44	full_moment_pr	gain_magicoder	-0.2882999880625789	7
A_all_versions	Qwen3-8B/metamath/seed42	full_moment_pr	gain_magicoder	0.9272727272727274	7
A_all_versions	Qwen3-8B/metamath/seed43	full_moment_pr	gain_magicoder	0.9818181818181818	7
A_all_versions	Qwen3-8B/metamath/seed44	full_moment_pr	gain_magicoder	0.6727272727272727	7
