checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B/magicoder/seed42	scalar_e	off_task	0.819609117846674	3	0.5319946868306573	3	0.016680801844803538	3	0.012083016102303246	3	0.12984685547197927	3	0.017970327532814624	3	3	24279	650	698	3222	19709	536	282	128	75
Qwen3-8B/magicoder/seed42	flat_e	all	0.8283671144684843	4	0.5337256443389632	4	0.014543987341234549	4	0.007304046587905389	4	0.10416502496548323	4	0.010996226359163594	4	4	24443	680	726	3249	19788	567	275	104	55
Qwen3-8B/magicoder/seed42	flat_e	target	0.8666666666666667	1	0.5714285714285714	1	0.018292682926829267	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	30	28	27	79	26	16	3	0
Qwen3-8B/magicoder/seed42	flat_e	off_task	0.8156005970690904	3	0.5211580019757606	3	0.013294422146036308	3	0.009738728783873852	3	0.1018496629169406	3	0.014661635145551459	3	3	24279	650	698	3222	19709	541	259	101	55
Qwen3-8B/magicoder/seed43	hns_f4_s1	all	0.8001203313484058	4	0.4971136524792664	4	0.021522456680417766	4	0.007834529428137007	4	0.1413259881602152	4	0.011593589438968608	4	4	24443	652	739	3236	19816	523	278	97	58
Qwen3-8B/magicoder/seed43	hns_f4_s1	target	0.7741935483870968	1	0.52	1	0.042682926829268296	1	0.0	1	0.23333333333333334	1	0.0	1	1	164	31	25	30	78	24	13	7	0
Qwen3-8B/magicoder/seed43	hns_f4_s1	off_task	0.8087625923355087	3	0.48948486997235524	3	0.014468966630800923	3	0.01044603923751601	3	0.11065687310250912	3	0.015458119251958143	3	3	24279	621	714	3206	19738	499	265	90	58
Qwen3-8B/magicoder/seed43	scalar_e	all	0.7775558864403282	4	0.5329360354647774	4	0.024321210853150747	4	0.009434436486912619	4	0.16070566609727072	4	0.013990867276279276	4	4	24443	652	739	3236	19816	502	323	129	82
Qwen3-8B/magicoder/seed43	scalar_e	target	0.7741935483870968	1	0.6	1	0.054878048780487805	1	0.0	1	0.3	1	0.0	1	1	164	31	25	30	78	24	15	9	0
Qwen3-8B/magicoder/seed43	scalar_e	off_task	0.7786766657914054	3	0.5105813806197033	3	0.014135598210705062	3	0.012579248649216826	3	0.11427422146302763	3	0.0186544897017057	3	3	24279	621	714	3206	19738	478	308	120	82
Qwen3-8B/magicoder/seed43	flat_e	all	0.7943138646555128	4	0.513690576835819	4	0.01947657115753731	4	0.009041043212571353	4	0.1306818260759673	4	0.01332228761849328	4	4	24443	652	739	3236	19816	520	285	95	64
Qwen3-8B/magicoder/seed43	flat_e	target	0.8064516129032258	1	0.56	1	0.036585365853658534	1	0.0	1	0.2	1	0.0	1	1	164	31	25	30	78	25	14	6	0
Qwen3-8B/magicoder/seed43	flat_e	off_task	0.7902679485729417	3	0.49825410244775864	3	0.013773639592163567	3	0.012054724283428471	3	0.1075757681012897	3	0.01776305015799104	3	3	24279	621	714	3206	19738	495	271	89	64
Qwen3-8B/magicoder/seed44	hns_f4_s1	all	0.8079356853811335	4	0.5114752032318503	4	0.017029046796683555	4	0.009300544460263847	4	0.12339151521754939	4	0.013981024793785652	4	4	24443	660	749	3226	19808	536	292	99	63
Qwen3-8B/magicoder/seed44	hns_f4_s1	target	0.7857142857142857	1	0.6	1	0.024390243902439025	1	0.0	1	0.13333333333333333	1	0.0	1	1	164	28	25	30	81	22	15	4	0
Qwen3-8B/magicoder/seed44	hns_f4_s1	off_task	0.8153428186034161	3	0.48196693764246695	3	0.014575314428098398	3	0.012400725947018463	3	0.12007757584562141	3	0.018641366391714202	3	3	24279	632	724	3196	19727	514	277	95	63
Qwen3-8B/magicoder/seed44	scalar_e	all	0.8416804541670366	4	0.5593600690514617	4	0.021916881710256797	4	0.012234598655278995	4	0.13481446226473845	4	0.01905738855127522	4	4	24443	660	749	3226	19808	520	341	115	88
Qwen3-8B/magicoder/seed44	scalar_e	target	0.8214285714285714	1	0.68	1	0.042682926829268296	1	0.006097560975609756	1	0.23333333333333334	1	0.012345679012345678	1	1	164	28	25	30	81	23	17	7	1
